Question trial description Hypothesis Minutes	0
air energy lids trial glass energy thermometer	0
Materials Hypothesis Data energy increase results	0
steps Data trial effect centimeters paint experiment	0
stopwatch description description Hypothesis	0
description temperature gray description description	0
lids steps Data results paint Hypothesis results	0
trial thermometer minutes gray doghouse results	0
centimeters Question Data description Minutes	0
steps colors paint trial air Materials thermometer	0
effect effect increase description centimeters	0
minutes Question lamp effect lids colors Minutes	0
lids effect starting lids doghouse paint temperature	0
Materials gray trial results minutes Note lamp	0
colors jar description starting Hypothesis Minutes	0
color experiment description starting jar temperature	0
Hypothesis Note doghouse color centimeters temperature	0
lids centimeters energy trial increase colors	0
stopwatch minutes energy steps experiment lamp	0
Note thermometer Materials object Materials temperature	0
doghouse gray colors doghouse steps Materials	0
thermometer glass minutes doghouse results Data	0
object description starting starting Minutes	0
trial colors Minutes paint glass thermometer	0
minutes results Data air thermometer results	0
minutes centimeters experiment Question lids	0
lamp Question Materials jar increase thermometer	0
thermometer experiment Materials Hypothesis steps	0
centimeters experiment colors object color increase	0
trial experiment glass lamp results thermometer	0
stopwatch centimeters description Note energy	0
Note temperature paint Question Minutes minutes	0
C stopwatch lamp doghouse glass results Question	0
minutes Hypothesis trial Materials Hypothesis	0
temperature glass object effect doghouse description	0
gray gray energy jar stopwatch colors energy	0
glass results starting thermometer Materials	0
glass experiment stopwatch colors steps energy	0
doghouse steps centimeters starting minutes Minutes	0
increase steps increase increase results experiment	0
Data energy description lids gray stopwatch lamp	0
centimeters Data Minutes results results experiment	0
Materials increase results color Materials glass	0
object experiment results Note increase results	0
Materials colors centimeters glass thermometer	0
description air colors thermometer paint color	0
color Materials lamp effect paint stopwatch Data	0
Materials steps increase lids thermometer lamp	0
paint steps stopwatch starting doghouse centimeters	0
glass thermometer trial trial stopwatch lids	0
colors thermometer Minutes color description	0
stopwatch starting Question starting stopwatch	0
temperature Data jar temperature color Note centimeters	0
object temperature Materials Materials Data Note	0
jar object Note Minutes stopwatch gray air paint	0
Data centimeters Note results results Hypothesis	0
lids paint paint trial trial Materials Hypothesis	0
experiment color energy Note gray object Hypothesis	0
steps results paint glass stopwatch experiment	0
