minutes procedure student plastics ways validity	1
results edge ways edge ways clamp sample types	1
table side clamp types type minutes samples polymer	1
table length weights student trial stretchability	1
stretchability data trial conclusion plastic	1
clamp length types length results design minutes	1
types design type minutes clamp data edge samples	1
length conclusion results stretchability edge	1
samples weights procedure plastics types minutes	1
side edge clamp plastic procedure polymer ways	1
edge side types ways ways length clamp types	1
design data trial procedure results minutes type	1
conclusion side procedure stretchability student	1
table sample trial sample side conclusion design	1
table ways stretchability weights trial plastic	1
investigation validity conclusion plastics trial	1
types types clamp table length stretchability	1
samples minutes side results design data investigation	1
procedure conclusion procedure types edge procedure	1
plastic investigation minutes validity conclusion	1
plastics design samples edge conclusion length	1
results side conclusion design length side design	1
plastic data side edge side table trial validity	1
data plastic trial types trial conclusion design	1
minutes edge results types length type sample	1
minutes stretchability plastics edge types plastics	1
design side plastics ways investigation type	1
trial polymer edge stretchability minutes types	1
polymer results type stretchability clamp clamp	1
plastic edge plastics polymer ways type validity	1
side table plastic ways side minutes side polymer	1
trial side investigation weights plastic investigation	1
minutes data student procedure validity stretchability	1
investigation stretchability table weights weights	1
side polymer trial sample ways trial investigation	1
data results validity data investigation table	1
table stretchability weights side plastic clamp	1
edge validity results table procedure sample	1
design student plastics investigation table sample	1
sample side clamp weights plastics data length	1
table sample table investigation length design	1
clamp minutes design length validity polymer	1
ways plastics plastics polymer length conclusion	1
investigation type procedure polymer edge plastic	1
validity design weights results samples table	1
type samples validity clamp clamp polymer edge	1
sample plastic table conclusion side procedure	1
table plastics sample plastic edge design edge	1
clamp conclusion type design types weights edge	1
trial procedure validity minutes conclusion table	1
polymer type results table student length plastics	1
investigation types results investigation data	1
plastic plastic validity validity ways student	1
trial stretchability design type side design	1
investigation table conclusion trial plastics	1
investigation sample results type data plastic	1
trial stretchability investigation procedure	1
weights plastics sample type clamp edge investigation	1
clamp weights stretchability types clamp procedure	1
table weights clamp length length types investigation	1
data type validity weights minutes types length	1
student stretchability student type plastic results	1
type student type type side sample stretchability	1
validity length conclusion conclusion results	1
edge conclusion clamp samples investigation ways	1
data trial length clamp types conclusion procedure	1
data conclusion trial data plastic data plastics	1
plastics table conclusion conclusion investigation	1
samples side conclusion table table length length	0
stretchability student plastics clamp minutes	1
minutes conclusion samples design trial validity	1
results trial minutes edge length plastics length	1
sample clamp design data student design side	1
clamp data plastics length sample investigation	1
ways polymer data side side student conclusion	1
design length student table length samples samples	1
plastics stretchability plastic plastic results	1
trial stretchability type procedure validity	1
