id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt1_de.txt	0	0	Ende Gruppe Daten Regen Trocknen Stunden Plastik
10700001	results/prompt_txt/Prompt1_de.txt	0	0	Bestimme Materials Wasser Experiment Lege Daten
10700002	results/prompt_txt/Prompt1_de.txt	0	0	Unterschied Materials Masse Wiederhole Prozedur
10700003	results/prompt_txt/Prompt1_de.txt	0	0	Experiment Ende Materials Minuten Materialien
10700004	results/prompt_txt/Prompt1_de.txt	0	0	Daten Behiltern Wiederhole Trocknen Wiederhole
10700005	results/prompt_txt/Prompt1_de.txt	0	0	Gruppe Proben Ende Gewicht GieBe Ende Ganze Saurer
10700006	results/prompt_txt/Prompt1_de.txt	0	0	Materialien Informationen Holz Tabelle Regen
10700007	results/prompt_txt/Prompt1_de.txt	0	0	Plastik Aufgabe Experiment GieBe Unterschied
10700008	results/prompt_txt/Prompt1_de.txt	0	0	Marmor Wiederhole Stunden Plastik Tabelle Minuten
10700009	results/prompt_txt/Prompt1_de.txt	0	0	Saurer Experiment Daten Behalter GieBe Marmor
10700010	results/prompt_txt/Prompt1_de.txt	0	0	Gewicht Ganze Beginn Materials Beginn Experiment
10700011	results/prompt_txt/Prompt1_de.txt	0	0	Behalter Wiederhole Schtiler Daten Entferne Minuten
10700012	results/prompt_txt/Prompt1_de.txt	0	0	Prozedur Experiment Aufgabe Ende Schtiler Behalter
10700013	results/prompt_txt/Prompt1_de.txt	0	0	Wiederhole Minuten Ende Trocknen Proben Regen
10700014	results/prompt_txt/Prompt1_de.txt	0	0	Gewicht Schtiler Materials Ende Stunden Tabelle
10700015	results/prompt_txt/Prompt1_de.txt	0	0	Prozedur Wasser Stunden Wasser Gewicht Kalkstein
10700016	results/prompt_txt/Prompt1_de.txt	0	0	Behalter Regen Ende Holz Stunden Entferne Behalter
10700017	results/prompt_txt/Prompt1_de.txt	0	0	Gewicht Ganze Saurer Behalter Beginn Regen Daten
10700018	results/prompt_txt/Prompt1_de.txt	0	0	Gruppe Gruppe Prozedur GieBe Gewicht GieBe Trocknen
10700019	results/prompt_txt/Prompt1_de.txt	0	0	Unterschied Gruppe Holz Saurer Stunden Lege Materials
10700020	results/prompt_txt/Prompt1_de.txt	0	0	Daten Daten Plastik GieBe Entferne Bestimme Trocknen
10700021	results/prompt_txt/Prompt1_de.txt	0	0	Bestimme Proben Materialien Aufgabe Behalter
