id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt2_en.txt	0	0	minutes procedure student plastics ways validity
10700001	results/prompt_txt/Prompt2_en.txt	0	0	results edge ways edge ways clamp sample types
10700002	results/prompt_txt/Prompt2_en.txt	0	0	table side clamp types type minutes samples polymer
10700003	results/prompt_txt/Prompt2_en.txt	0	0	table length weights student trial stretchability
10700004	results/prompt_txt/Prompt2_en.txt	0	0	stretchability data trial conclusion plastic
10700005	results/prompt_txt/Prompt2_en.txt	0	0	clamp length types length results design minutes
10700006	results/prompt_txt/Prompt2_en.txt	0	0	types design type minutes clamp data edge samples
10700007	results/prompt_txt/Prompt2_en.txt	0	0	length conclusion results stretchability edge
10700008	results/prompt_txt/Prompt2_en.txt	0	0	samples weights procedure plastics types minutes
10700009	results/prompt_txt/Prompt2_en.txt	0	0	side edge clamp plastic procedure polymer ways
10700010	results/prompt_txt/Prompt2_en.txt	0	0	edge side types ways ways length clamp types
10700011	results/prompt_txt/Prompt2_en.txt	0	0	design data trial procedure results minutes type
10700012	results/prompt_txt/Prompt2_en.txt	0	0	conclusion side procedure stretchability student
10700013	results/prompt_txt/Prompt2_en.txt	0	0	table sample trial sample side conclusion design
10700014	results/prompt_txt/Prompt2_en.txt	0	0	table ways stretchability weights trial plastic
10700015	results/prompt_txt/Prompt2_en.txt	0	0	investigation validity conclusion plastics trial
10700016	results/prompt_txt/Prompt2_en.txt	0	0	types types clamp table length stretchability
10700017	results/prompt_txt/Prompt2_en.txt	0	0	samples minutes side results design data investigation
10700018	results/prompt_txt/Prompt2_en.txt	0	0	procedure conclusion procedure types edge procedure
10700019	results/prompt_txt/Prompt2_en.txt	0	0	plastic investigation minutes validity conclusion
10700020	results/prompt_txt/Prompt2_en.txt	0	0	plastics design samples edge conclusion length
10700021	results/prompt_txt/Prompt2_en.txt	0	0	results side conclusion design length side design
10700022	results/prompt_txt/Prompt2_en.txt	0	0	plastic data side edge side table trial validity
10700023	results/prompt_txt/Prompt2_en.txt	0	0	data plastic trial types trial conclusion design
10700024	results/prompt_txt/Prompt2_en.txt	0	0	minutes edge results types length type sample
10700025	results/prompt_txt/Prompt2_en.txt	0	0	minutes stretchability plastics edge types plastics
10700026	results/prompt_txt/Prompt2_en.txt	0	0	design side plastics ways investigation type
10700027	results/prompt_txt/Prompt2_en.txt	0	0	trial polymer edge stretchability minutes types
10700028	results/prompt_txt/Prompt2_en.txt	0	0	polymer results type stretchability clamp clamp
10700029	results/prompt_txt/Prompt2_en.txt	0	0	plastic edge plastics polymer ways type validity
10700030	results/prompt_txt/Prompt2_en.txt	0	0	side table plastic ways side minutes side polymer
10700031	results/prompt_txt/Prompt2_en.txt	0	0	trial side investigation weights plastic investigation
10700032	results/prompt_txt/Prompt2_en.txt	0	0	minutes data student procedure validity stretchability
10700033	results/prompt_txt/Prompt2_en.txt	0	0	investigation stretchability table weights weights
10700034	results/prompt_txt/Prompt2_en.txt	0	0	side polymer trial sample ways trial investigation
10700035	results/prompt_txt/Prompt2_en.txt	0	0	data results validity data investigation table
10700036	results/prompt_txt/Prompt2_en.txt	0	0	table stretchability weights side plastic clamp
10700037	results/prompt_txt/Prompt2_en.txt	0	0	edge validity results table procedure sample
10700038	results/prompt_txt/Prompt2_en.txt	0	0	design student plastics investigation table sample
10700039	results/prompt_txt/Prompt2_en.txt	0	0	sample side clamp weights plastics data length
10700040	results/prompt_txt/Prompt2_en.txt	0	0	table sample table investigation length design
10700041	results/prompt_txt/Prompt2_en.txt	0	0	clamp minutes design length validity polymer
10700042	results/prompt_txt/Prompt2_en.txt	0	0	ways plastics plastics polymer length conclusion
10700043	results/prompt_txt/Prompt2_en.txt	0	0	investigation type procedure polymer edge plastic
10700044	results/prompt_txt/Prompt2_en.txt	0	0	validity design weights results samples table
10700045	results/prompt_txt/Prompt2_en.txt	0	0	type samples validity clamp clamp polymer edge
10700046	results/prompt_txt/Prompt2_en.txt	0	0	sample plastic table conclusion side procedure
10700047	results/prompt_txt/Prompt2_en.txt	0	0	table plastics sample plastic edge design edge
10700048	results/prompt_txt/Prompt2_en.txt	0	0	clamp conclusion type design types weights edge
10700049	results/prompt_txt/Prompt2_en.txt	0	0	trial procedure validity minutes conclusion table
10700050	results/prompt_txt/Prompt2_en.txt	0	0	polymer type results table student length plastics
10700051	results/prompt_txt/Prompt2_en.txt	0	0	investigation types results investigation data
10700052	results/prompt_txt/Prompt2_en.txt	0	0	plastic plastic validity validity ways student
10700053	results/prompt_txt/Prompt2_en.txt	0	0	trial stretchability design type side design
10700054	results/prompt_txt/Prompt2_en.txt	0	0	investigation table conclusion trial plastics
10700055	results/prompt_txt/Prompt2_en.txt	0	0	investigation sample results type data plastic
10700056	results/prompt_txt/Prompt2_en.txt	0	0	trial stretchability investigation procedure
10700057	results/prompt_txt/Prompt2_en.txt	0	0	weights plastics sample type clamp edge investigation
10700058	results/prompt_txt/Prompt2_en.txt	0	0	clamp weights stretchability types clamp procedure
10700059	results/prompt_txt/Prompt2_en.txt	0	0	table weights clamp length length types investigation
10700060	results/prompt_txt/Prompt2_en.txt	0	0	data type validity weights minutes types length
10700061	results/prompt_txt/Prompt2_en.txt	0	0	student stretchability student type plastic results
10700062	results/prompt_txt/Prompt2_en.txt	0	0	type student type type side sample stretchability
10700063	results/prompt_txt/Prompt2_en.txt	0	0	validity length conclusion conclusion results
10700064	results/prompt_txt/Prompt2_en.txt	0	0	edge conclusion clamp samples investigation ways
10700065	results/prompt_txt/Prompt2_en.txt	0	0	data trial length clamp types conclusion procedure
10700066	results/prompt_txt/Prompt2_en.txt	0	0	data conclusion trial data plastic data plastics
10700067	results/prompt_txt/Prompt2_en.txt	0	0	plastics table conclusion conclusion investigation
10700068	results/prompt_txt/Prompt2_en.txt	0	0	samples side conclusion table table length length
10700069	results/prompt_txt/Prompt2_en.txt	0	0	stretchability student plastics clamp minutes
10700070	results/prompt_txt/Prompt2_en.txt	0	0	minutes conclusion samples design trial validity
10700071	results/prompt_txt/Prompt2_en.txt	0	0	results trial minutes edge length plastics length
10700072	results/prompt_txt/Prompt2_en.txt	0	0	sample clamp design data student design side
10700073	results/prompt_txt/Prompt2_en.txt	0	0	clamp data plastics length sample investigation
10700074	results/prompt_txt/Prompt2_en.txt	0	0	ways polymer data side side student conclusion
10700075	results/prompt_txt/Prompt2_en.txt	0	0	design length student table length samples samples
10700076	results/prompt_txt/Prompt2_en.txt	0	0	plastics stretchability plastic plastic results
10700077	results/prompt_txt/Prompt2_en.txt	0	0	trial stretchability type procedure validity
10700078	results/prompt_txt/Prompt2_en.txt	0	0	plastic weights minutes minutes student conclusion
10700079	results/prompt_txt/Prompt2_en.txt	0	0	minutes plastic stretchability data minutes trial
10700080	results/prompt_txt/Prompt2_en.txt	0	0	ways side type design sample plastic investigation
10700081	results/prompt_txt/Prompt2_en.txt	0	0	types trial length data types student edge plastic
10700082	results/prompt_txt/Prompt2_en.txt	0	0	types polymer ways procedure validity stretchability
10700083	results/prompt_txt/Prompt2_en.txt	0	0	design stretchability design clamp design investigation
10700084	results/prompt_txt/Prompt2_en.txt	0	0	polymer procedure side conclusion validity minutes
10700085	results/prompt_txt/Prompt2_en.txt	0	0	type results samples length plastics edge sample
10700086	results/prompt_txt/Prompt2_en.txt	0	0	design validity ways results side plastic side
10700087	results/prompt_txt/Prompt2_en.txt	0	0	student type procedure data results results design
10700088	results/prompt_txt/Prompt2_en.txt	0	0	conclusion stretchability minutes student stretchability
10700089	results/prompt_txt/Prompt2_en.txt	0	0	minutes design student side table design side
10700090	results/prompt_txt/Prompt2_en.txt	0	0	type validity side type plastics procedure ways
10700091	results/prompt_txt/Prompt2_en.txt	0	0	length student ways polymer polymer design table
10700092	results/prompt_txt/Prompt2_en.txt	0	0	plastic edge data weights plastic validity sample
10700093	results/prompt_txt/Prompt2_en.txt	0	0	polymer types plastic length type table stretchability
10700094	results/prompt_txt/Prompt2_en.txt	0	0	plastics stretchability data trial sample length
10700095	results/prompt_txt/Prompt2_en.txt	0	0	plastic sample sample samples design investigation
10700096	results/prompt_txt/Prompt2_en.txt	0	0	trial plastics minutes samples student conclusion
10700097	results/prompt_txt/Prompt2_en.txt	0	0	data type results polymer conclusion procedure
10700098	results/prompt_txt/Prompt2_en.txt	0	0	validity plastic procedure design polymer weights
10700099	results/prompt_txt/Prompt2_en.txt	0	0	results length side sample trial samples polymer
10700100	results/prompt_txt/Prompt2_en.txt	0	0	clamp weights ways design edge conclusion plastic
10700101	results/prompt_txt/Prompt2_en.txt	0	0	minutes ways polymer student length edge investigation
10700102	results/prompt_txt/Prompt2_en.txt	0	0	polymer results trial length sample plastics
10700103	results/prompt_txt/Prompt2_en.txt	0	0	plastic design results table results plastic
10700104	results/prompt_txt/Prompt2_en.txt	0	0	type stretchability types length stretchability
10700105	results/prompt_txt/Prompt2_en.txt	0	0	design data polymer data ways design weights
10700106	results/prompt_txt/Prompt2_en.txt	0	0	ways validity sample plastic design ways plastics
10700107	results/prompt_txt/Prompt2_en.txt	0	0	conclusion length polymer data sample weights
10700108	results/prompt_txt/Prompt2_en.txt	0	0	stretchability design data results weights clamp
10700109	results/prompt_txt/Prompt2_en.txt	0	0	weights plastic table clamp results investigation
10700110	results/prompt_txt/Prompt2_en.txt	0	0	sample samples conclusion edge samples table
10700111	results/prompt_txt/Prompt2_en.txt	0	0	type type data conclusion table minutes results
10700112	results/prompt_txt/Prompt2_en.txt	0	0	trial clamp table investigation student validity
10700113	results/prompt_txt/Prompt2_en.txt	0	0	sample validity conclusion polymer results types
10700114	results/prompt_txt/Prompt2_en.txt	0	0	table procedure ways polymer design validity
10700115	results/prompt_txt/Prompt2_en.txt	0	0	investigation student results conclusion length
10700116	results/prompt_txt/Prompt2_en.txt	0	0	conclusion edge length trial length validity
10700117	results/prompt_txt/Prompt2_en.txt	0	0	stretchability weights student polymer data table
10700118	results/prompt_txt/Prompt2_en.txt	0	0	table stretchability investigation polymer design
10700119	results/prompt_txt/Prompt2_en.txt	0	0	data edge type types trial table polymer student
10700120	results/prompt_txt/Prompt2_en.txt	0	0	plastics side table weights trial plastic table
10700121	results/prompt_txt/Prompt2_en.txt	0	0	side results procedure length sample ways plastic
10700122	results/prompt_txt/Prompt2_en.txt	0	0	data conclusion plastic stretchability edge plastic
10700123	results/prompt_txt/Prompt2_en.txt	0	0	plastic samples length polymer stretchability
10700124	results/prompt_txt/Prompt2_en.txt	0	0	side type table minutes length clamp stretchability
10700125	results/prompt_txt/Prompt2_en.txt	0	0	types procedure side samples conclusion student
10700126	results/prompt_txt/Prompt2_en.txt	0	0	weights plastics plastics data type samples polymer
10700127	results/prompt_txt/Prompt2_en.txt	0	0	polymer clamp data types samples polymer student
