id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt2_en.txt	0	0	plastics plastics table student design sample
10700001	results/prompt_txt/Prompt2_en.txt	0	0	stretchability procedure investigation investigation
10700002	results/prompt_txt/Prompt2_en.txt	0	0	type data validity plastic type side types stretchability
10700003	results/prompt_txt/Prompt2_en.txt	0	0	data type minutes edge sample types length length
10700004	results/prompt_txt/Prompt2_en.txt	0	0	side polymer data results clamp weights edge
10700005	results/prompt_txt/Prompt2_en.txt	0	0	polymer side sample data validity table design
10700006	results/prompt_txt/Prompt2_en.txt	0	0	type plastic data ways samples ways trial validity
10700007	results/prompt_txt/Prompt2_en.txt	0	0	clamp samples polymer samples validity data stretchability
10700008	results/prompt_txt/Prompt2_en.txt	0	0	plastic clamp validity conclusion minutes plastics
10700009	results/prompt_txt/Prompt2_en.txt	0	0	conclusion investigation side student sample
10700010	results/prompt_txt/Prompt2_en.txt	0	0	side types validity types type types ways minutes
10700011	results/prompt_txt/Prompt2_en.txt	0	0	weights minutes side design trial table weights
10700012	results/prompt_txt/Prompt2_en.txt	0	0	stretchability results side results plastic samples
10700013	results/prompt_txt/Prompt2_en.txt	0	0	investigation plastics ways design weights length
10700014	results/prompt_txt/Prompt2_en.txt	0	0	procedure edge plastics conclusion clamp polymer
10700015	results/prompt_txt/Prompt2_en.txt	0	0	trial side polymer minutes edge design table
10700016	results/prompt_txt/Prompt2_en.txt	0	0	samples clamp trial stretchability side plastics
10700017	results/prompt_txt/Prompt2_en.txt	0	0	sample edge table polymer edge ways validity
10700018	results/prompt_txt/Prompt2_en.txt	0	0	trial samples polymer validity trial types side
10700019	results/prompt_txt/Prompt2_en.txt	0	0	procedure investigation trial side clamp length
10700020	results/prompt_txt/Prompt2_en.txt	0	0	length edge clamp trial investigation investigation
10700021	results/prompt_txt/Prompt2_en.txt	0	0	clamp table validity samples clamp types weights
10700022	results/prompt_txt/Prompt2_en.txt	0	0	data sample design samples plastics edge table
10700023	results/prompt_txt/Prompt2_en.txt	0	0	sample investigation data minutes type procedure
10700024	results/prompt_txt/Prompt2_en.txt	0	0	conclusion ways data ways minutes types table
10700025	results/prompt_txt/Prompt2_en.txt	0	0	stretchability table type student design plastics
10700026	results/prompt_txt/Prompt2_en.txt	0	0	table length type validity procedure samples
10700027	results/prompt_txt/Prompt2_en.txt	0	0	data data data validity plastic plastics conclusion
10700028	results/prompt_txt/Prompt2_en.txt	0	0	polymer design minutes clamp student design validity
10700029	results/prompt_txt/Prompt2_en.txt	0	0	investigation types validity sample sample edge
10700030	results/prompt_txt/Prompt2_en.txt	0	0	plastic design stretchability trial plastic sample
10700031	results/prompt_txt/Prompt2_en.txt	0	0	table data types weights length weights types
10700032	results/prompt_txt/Prompt2_en.txt	0	0	validity samples type data length table plastic
10700033	results/prompt_txt/Prompt2_en.txt	0	0	investigation plastics design side clamp design
10700034	results/prompt_txt/Prompt2_en.txt	0	0	stretchability investigation plastic clamp stretchability
10700035	results/prompt_txt/Prompt2_en.txt	0	0	validity data side stretchability weights type
10700036	results/prompt_txt/Prompt2_en.txt	0	0	stretchability sample trial weights side validity
10700037	results/prompt_txt/Prompt2_en.txt	0	0	trial ways weights ways plastics samples procedure
10700038	results/prompt_txt/Prompt2_en.txt	0	0	plastics investigation investigation procedure
10700039	results/prompt_txt/Prompt2_en.txt	0	0	ways type polymer edge clamp clamp table length
10700040	results/prompt_txt/Prompt2_en.txt	0	0	clamp side validity design conclusion types ways
10700041	results/prompt_txt/Prompt2_en.txt	0	0	stretchability sample trial procedure plastics
10700042	results/prompt_txt/Prompt2_en.txt	0	0	type type type polymer sample edge validity ways
10700043	results/prompt_txt/Prompt2_en.txt	0	0	length polymer validity data procedure conclusion
10700044	results/prompt_txt/Prompt2_en.txt	0	0	validity minutes sample student polymer samples
10700045	results/prompt_txt/Prompt2_en.txt	0	0	side sample edge procedure side validity table
10700046	results/prompt_txt/Prompt2_en.txt	0	0	conclusion side data validity conclusion edge
10700047	results/prompt_txt/Prompt2_en.txt	0	0	sample design table stretchability polymer weights
10700048	results/prompt_txt/Prompt2_en.txt	0	0	ways stretchability plastic types side types
10700049	results/prompt_txt/Prompt2_en.txt	0	0	validity types minutes data ways sample data
10700050	results/prompt_txt/Prompt2_en.txt	0	0	procedure types ways type types clamp data samples
10700051	results/prompt_txt/Prompt2_en.txt	0	0	polymer table procedure clamp investigation sample
10700052	results/prompt_txt/Prompt2_en.txt	0	0	plastics length student stretchability investigation
10700053	results/prompt_txt/Prompt2_en.txt	0	0	procedure design investigation polymer side types
10700054	results/prompt_txt/Prompt2_en.txt	0	0	plastics design trial student side student plastic
10700055	results/prompt_txt/Prompt2_en.txt	0	0	types conclusion edge ways conclusion sample
10700056	results/prompt_txt/Prompt2_en.txt	0	0	student plastic types type side student ways
10700057	results/prompt_txt/Prompt2_en.txt	0	0	plastic plastic weights procedure trial conclusion
10700058	results/prompt_txt/Prompt2_en.txt	0	0	procedure investigation data samples conclusion
10700059	results/prompt_txt/Prompt2_en.txt	0	0	design ways types minutes minutes table table
10700060	results/prompt_txt/Prompt2_en.txt	0	0	weights trial weights samples plastic student
10700061	results/prompt_txt/Prompt2_en.txt	0	0	student length clamp samples types minutes plastic
10700062	results/prompt_txt/Prompt2_en.txt	0	0	conclusion length type data trial polymer samples
10700063	results/prompt_txt/Prompt2_en.txt	0	0	design student clamp type type ways plastic student
10700064	results/prompt_txt/Prompt2_en.txt	0	0	weights sample validity samples weights data
10700065	results/prompt_txt/Prompt2_en.txt	0	0	student edge edge sample design data results
10700066	results/prompt_txt/Prompt2_en.txt	0	0	validity length student plastic data ways student
10700067	results/prompt_txt/Prompt2_en.txt	0	0	plastics plastics ways side results design design
10700068	results/prompt_txt/Prompt2_en.txt	0	0	polymer data weights weights validity clamp plastic
10700069	results/prompt_txt/Prompt2_en.txt	0	0	procedure student plastics investigation type
10700070	results/prompt_txt/Prompt2_en.txt	0	0	weights data results results data clamp stretchability
