id	EssaySet	eassay_score	essay_score	EssayText
10700000	results/prompt_txt/Prompt10_en.txt	0	0	colors glass description thermometer increase
10700001	results/prompt_txt/Prompt10_en.txt	0	0	Note energy object colors paint doghouse colors
10700002	results/prompt_txt/Prompt10_en.txt	0	0	trial centimeters effect paint temperature experiment
10700003	results/prompt_txt/Prompt10_en.txt	0	0	color air effect doghouse starting lamp Materials
10700004	results/prompt_txt/Prompt10_en.txt	0	0	lamp centimeters gray gray description trial
10700005	results/prompt_txt/Prompt10_en.txt	0	0	centimeters Hypothesis lamp object Question trial
10700006	results/prompt_txt/Prompt10_en.txt	0	0	lids color minutes effect jar Data effect thermometer
10700007	results/prompt_txt/Prompt10_en.txt	0	0	gray trial lamp lamp steps description colors
10700008	results/prompt_txt/Prompt10_en.txt	0	0	Hypothesis Question object minutes doghouse Materials
10700009	results/prompt_txt/Prompt10_en.txt	0	0	air color results stopwatch lids colors thermometer
10700010	results/prompt_txt/Prompt10_en.txt	0	0	color Data Minutes gray energy gray Data experiment
10700011	results/prompt_txt/Prompt10_en.txt	0	0	results Hypothesis energy doghouse Question paint
10700012	results/prompt_txt/Prompt10_en.txt	0	0	lamp jar Note increase lids thermometer description
10700013	results/prompt_txt/Prompt10_en.txt	0	0	experiment results air experiment jar Question
10700014	results/prompt_txt/Prompt10_en.txt	0	0	gray experiment Question experiment stopwatch
10700015	results/prompt_txt/Prompt10_en.txt	0	0	paint experiment doghouse Materials description
10700016	results/prompt_txt/Prompt10_en.txt	0	0	paint increase Hypothesis Data experiment doghouse
10700017	results/prompt_txt/Prompt10_en.txt	0	0	jar results jar Hypothesis centimeters increase
10700018	results/prompt_txt/Prompt10_en.txt	0	0	color color object Materials trial effect Minutes
10700019	results/prompt_txt/Prompt10_en.txt	0	0	doghouse steps minutes Hypothesis paint lids
10700020	results/prompt_txt/Prompt10_en.txt	0	0	experiment effect Minutes object Data Materials
10700021	results/prompt_txt/Prompt10_en.txt	0	0	starting trial centimeters Question Data Materials
