id	prompt	score	text
en_002791	2	1	A conclusion I can make from this experiment is that plastic type B is the stretchable because in trial one it stretched 22mm,while in trial two it stretched 23mm without breaking. One way the student can improve the design is by adding more weights. A second way is to include more trials so there is more to compare to.
en_002796	2	2	Material type A stretched the least, and material type B stretched the most. Material type B stretched about 12 mm more than A. A few ways the student could have the experiment is be could have gotten different length plastic to test it different ways. Also he could have added more trials and averaged them together to get more accurate results.
en_002801	2	3	a) The students concluded that platic B was the most flexible, stretching up to 23mm on the second trial and 22mm on the first. b) The student could have improved this design and validity of his lab in two ways. First he could have done the experiment a third time to further confirm results. Second, the student could have been more descriptive in his procedure explaing how to add weight to the clamp and how much weight to actually add.
en_002807	2	3	As shown in the data table, I can conclude that plastic type B was able to stretch the most in the 5 minutes.  The table also shows that plastic type A stretched the least, concluding it was very strong or had less polymers. Two ways the students can improve their experimental design would be to make sure that all the plastic samples were the same length. Another way the students can improve the experiment would be to include the weights so an independent variable can be clearly stated/seen.
en_002808	2	1	a. Based on the students data I can conclude that T2 overall had better results that T1, for T1, A, B and C were all longer than T1. ^p 3b. The student could have improved the experimental design and for validity of the results by specifying the amount of weight that was added to the clamps and the student should also have specifyed the plastics that were used to make a more valid point. ^p A-10, 12. ^p B-22, 23. ^p C-14, 13. ^p D-20, 20.
en_002809	2	0	The second trail the first two numbers are higher then the two in the first trail. One number lower than the first time and the number the same, one way the could improve there experiment is they could of made a graph with there results.
en_002810	2	1	The question in this experiment is how many weights did it take take for the plastic to inicate while measuring. The conclusion was that T2 was more of a success. One way the student could have improved was explaing how heavy each weight was and how best you should add each weight to the clamp. Another way they could've improved was using the exact type of plastic with the same measurements.
en_002814	2	3	a) The plastic type B has the greatest stretchability out of the other 3 types. ^p b) The student should be clear about the length of each plastic to ensure that only independent variable is the type of plastic. Also, the student must determine the weight of the weights clamped on the plastic to keep one independent variable (plastic type). It is important to keep your constants, constant.
en_002816	2	1	I conclude, based on the data, that out of the four different polymer plastics, plastic type B was able to stretch the most mm, 23mm. Other plastic type such as A only stretched 12mm; plastic type C only stretched 13mm and plastic type b only stretched 20mm.
en_002823	2	2	(A) I concluded that plastic type B is the plastic with the best stretchability. ^P (B) One way the students could have improved the experiment is by doing more than two trials for each type of plastic. Another way the experiment could be improved is by doing trials with different amount of weights.
en_002828	2	0	The two way the student could have improved the experimental design are why they put letters under plastic type is should be the type of plastic not A or B. My second way to improved the exeperimental design is the amount stretched (mm) is wrong because what is T1 and T2 where is the T3 if their three type of plastic.
en_002832	2	1	a) After review of the results one can conclude that plastic type B as the most stretchable and durable this is because it had the highest mm stretch  distance for both trials.^p b) the student could have improved the results validity by performing 2 more trials after 2 minutes. By giving the plastics time to recover he can either test the durability over time.
en_002833	2	2	Based on the students data, plastic type B stretched the most with 22 and 23 where as plastic type A stretched 10 and 12. ^p One way they could improve is as by making the size of the plastic constant. Another way thing could improve it is by making sure that when your letting it hang to stop it at exactly 5 minutes as you can keep the time constant too.
